web-scraper-order,web-scraper-start-url,itemName,amount,price
1653954613-105,https://www.nofrills.ca/food/fruits-vegetables/c/28000?navid=flyout-L2-fruits-vegetables,Lettuce Iceberg,$2.99/ 1ea,$2.99
1653954613-129,https://www.nofrills.ca/food/fruits-vegetables/c/28000?navid=flyout-L2-fruits-vegetables,Pineapple,$2.99/ 1ea,$2.99
1653954613-97,https://www.nofrills.ca/food/fruits-vegetables/c/28000?navid=flyout-L2-fruits-vegetables,"Bananas, Bunch",$1.30/ 1kg,$1.50
1653954613-110,https://www.nofrills.ca/food/fruits-vegetables/c/28000?navid=flyout-L2-fruits-vegetables,Broccoli,$2.99/ 1ea,$2.99
1653954613-104,https://www.nofrills.ca/food/fruits-vegetables/c/28000?navid=flyout-L2-fruits-vegetables,Lemon,$0.79/ 1ea,$0.79
1653954613-101,https://www.nofrills.ca/food/fruits-vegetables/c/28000?navid=flyout-L2-fruits-vegetables,Celery Stalks,$2.49/ 1ea,$2.49
1653954613-126,https://www.nofrills.ca/food/fruits-vegetables/c/28000?navid=flyout-L2-fruits-vegetables,Limes,$0.50/ 1ea,$0.50
1653954613-103,https://www.nofrills.ca/food/fruits-vegetables/c/28000?navid=flyout-L2-fruits-vegetables,Farmer's Market,$1.00/ 1ea,$3.99
1653954613-111,https://www.nofrills.ca/food/fruits-vegetables/c/28000?navid=flyout-L2-fruits-vegetables,Cantaloupe,$4.49/ 1ea,$4.49
1653954613-115,https://www.nofrills.ca/food/fruits-vegetables/c/28000?navid=flyout-L2-fruits-vegetables,Roma Tomatoes,$4.39/ 1kg,$0.53
1653954613-117,https://www.nofrills.ca/food/fruits-vegetables/c/28000?navid=flyout-L2-fruits-vegetables,Sweet Potato,$3.28/ 1kg,$2.07
1653954613-109,https://www.nofrills.ca/food/fruits-vegetables/c/28000?navid=flyout-L2-fruits-vegetables,Avocados Bag,$1.00/ 1ea,$4.99
1653954613-123,https://www.nofrills.ca/food/fruits-vegetables/c/28000?navid=flyout-L2-fruits-vegetables,Blueberries 1/2 pint,$2.35/ 100g,$3.99
1653954613-133,https://www.nofrills.ca/food/fruits-vegetables/c/28000?navid=flyout-L2-fruits-vegetables,Farmer's Market,$0.33/ 1ea,$1.99
