web-scraper-order,web-scraper-start-url,itemName,amount,price
"1653954938-179","https://www.walmart.ca/browse/grocery/fruits-vegetables/10019-6000194327370?icid=grocery_wm_OGL1_LMagCategory_Tile_Fruits_Veg","Onion, Yellow, Your Fresh Market","3 lb bag","$2.97"
"1653954938-200","https://www.walmart.ca/browse/grocery/fruits-vegetables/10019-6000194327370?icid=grocery_wm_OGL1_LMagCategory_Tile_Fruits_Veg","Lettuce, Iceberg","Sold in singles","null"
"1653954938-180","https://www.walmart.ca/browse/grocery/fruits-vegetables/10019-6000194327370?icid=grocery_wm_OGL1_LMagCategory_Tile_Fruits_Veg","Blackberries","170 g","$1.97"
"1653954938-234","https://www.walmart.ca/browse/grocery/fruits-vegetables/10019-6000194327370?icid=grocery_wm_OGL1_LMagCategory_Tile_Fruits_Veg","Watermelon Chunks","10 oz","null"
"1653954938-205","https://www.walmart.ca/browse/grocery/fruits-vegetables/10019-6000194327370?icid=grocery_wm_OGL1_LMagCategory_Tile_Fruits_Veg","Cauliflower","Sold in singles","null"
"1653954938-175","https://www.walmart.ca/browse/grocery/fruits-vegetables/10019-6000194327370?icid=grocery_wm_OGL1_LMagCategory_Tile_Fruits_Veg","Strawberries","1 lb","$3.97"
"1653954938-210","https://www.walmart.ca/browse/grocery/fruits-vegetables/10019-6000194327370?icid=grocery_wm_OGL1_LMagCategory_Tile_Fruits_Veg","Broccoli Stalks","Sold in singles","null"
"1653954938-225","https://www.walmart.ca/browse/grocery/fruits-vegetables/10019-6000194327370?icid=grocery_wm_OGL1_LMagCategory_Tile_Fruits_Veg","Your Fresh Market Organic Spring Mix","283 g","null"
"1653954938-209","https://www.walmart.ca/browse/grocery/fruits-vegetables/10019-6000194327370?icid=grocery_wm_OGL1_LMagCategory_Tile_Fruits_Veg","Mushrooms, Sliced Cremini, Your Fresh Market","8 oz","null"
"1653954938-216","https://www.walmart.ca/browse/grocery/fruits-vegetables/10019-6000194327370?icid=grocery_wm_OGL1_LMagCategory_Tile_Fruits_Veg","Your Fresh Market Organic Baby Spinach","142 g","null"
"1653954938-215","https://www.walmart.ca/browse/grocery/fruits-vegetables/10019-6000194327370?icid=grocery_wm_OGL1_LMagCategory_Tile_Fruits_Veg","Peas, Sugar Snap, Mann's","15 oz","null"
"1653954938-218","https://www.walmart.ca/browse/grocery/fruits-vegetables/10019-6000194327370?icid=grocery_wm_OGL1_LMagCategory_Tile_Fruits_Veg","Single Kit Southwest 175 g","6 oz","null"
"1653954938-192","https://www.walmart.ca/browse/grocery/fruits-vegetables/10019-6000194327370?icid=grocery_wm_OGL1_LMagCategory_Tile_Fruits_Veg","Fresh Attitude Caesar Salad Kit","6 oz","null"
"1653954938-187","https://www.walmart.ca/browse/grocery/fruits-vegetables/10019-6000194327370?icid=grocery_wm_OGL1_LMagCategory_Tile_Fruits_Veg","Mushrooms, White Sliced, Your Fresh Market","8 oz","$2.47"
"1653954938-231","https://www.walmart.ca/browse/grocery/fruits-vegetables/10019-6000194327370?icid=grocery_wm_OGL1_LMagCategory_Tile_Fruits_Veg","Apple, Organic Gala","2 lb Bag","null"
"1653954938-197","https://www.walmart.ca/browse/grocery/fruits-vegetables/10019-6000194327370?icid=grocery_wm_OGL1_LMagCategory_Tile_Fruits_Veg","Apple, Red Delicious, Your Fresh Market","3 lb Bag","null"
"1653954938-182","https://www.walmart.ca/browse/grocery/fruits-vegetables/10019-6000194327370?icid=grocery_wm_OGL1_LMagCategory_Tile_Fruits_Veg","Your Fresh Market Clementine","2 lb","$4.97"
"1653954938-208","https://www.walmart.ca/browse/grocery/fruits-vegetables/10019-6000194327370?icid=grocery_wm_OGL1_LMagCategory_Tile_Fruits_Veg","Avocado","Pack of 5","null"
"1653954938-203","https://www.walmart.ca/browse/grocery/fruits-vegetables/10019-6000194327370?icid=grocery_wm_OGL1_LMagCategory_Tile_Fruits_Veg","Cara Cara Oranges","3 lb Bag","null"
"1653954938-196","https://www.walmart.ca/browse/grocery/fruits-vegetables/10019-6000194327370?icid=grocery_wm_OGL1_LMagCategory_Tile_Fruits_Veg","Your Fresh Market Seedless Oranges","4 lb","null"
"1653954938-204","https://www.walmart.ca/browse/grocery/fruits-vegetables/10019-6000194327370?icid=grocery_wm_OGL1_LMagCategory_Tile_Fruits_Veg","Your Fresh Market Spring Mix","142 g","null"
"1653954938-189","https://www.walmart.ca/browse/grocery/fruits-vegetables/10019-6000194327370?icid=grocery_wm_OGL1_LMagCategory_Tile_Fruits_Veg","Mushrooms, Cremini, Your Fresh Market","8 oz","$1.97"
"1653954938-226","https://www.walmart.ca/browse/grocery/fruits-vegetables/10019-6000194327370?icid=grocery_wm_OGL1_LMagCategory_Tile_Fruits_Veg","Mann's Broccoli and Cauliflower","12 oz","null"
"1653954938-185","https://www.walmart.ca/browse/grocery/fruits-vegetables/10019-6000194327370?icid=grocery_wm_OGL1_LMagCategory_Tile_Fruits_Veg","Your Fresh Market Yellow Potatoes","5 lb Bag","$3.97"
"1653954938-183","https://www.walmart.ca/browse/grocery/fruits-vegetables/10019-6000194327370?icid=grocery_wm_OGL1_LMagCategory_Tile_Fruits_Veg","Your Fresh Market Tomato, Grape","10 oz","$2.97"
"1653954938-176","https://www.walmart.ca/browse/grocery/fruits-vegetables/10019-6000194327370?icid=grocery_wm_OGL1_LMagCategory_Tile_Fruits_Veg","Raspberries","170 g","$3.97"
"1653954938-233","https://www.walmart.ca/browse/grocery/fruits-vegetables/10019-6000194327370?icid=grocery_wm_OGL1_LMagCategory_Tile_Fruits_Veg","Celery, Sticks","Sold in bunches","null"
